era_index,era_start_height,era_end_height,era_block_count,reward_units_per_block,reward_coin_per_block,max_era_subsidy_units,max_era_subsidy_coin
81,40500001,41000000,500000,782,0.00000782,391000000,3.91000000
82,41000001,41500000,500000,703,0.00000703,351500000,3.51500000
83,41500001,42000000,500000,632,0.00000632,316000000,3.16000000
84,42000001,42500000,500000,568,0.00000568,284000000,2.84000000
85,42500001,43000000,500000,511,0.00000511,255500000,2.55500000
86,43000001,43500000,500000,459,0.00000459,229500000,2.29500000
87,43500001,44000000,500000,413,0.00000413,206500000,2.06500000
88,44000001,44500000,500000,371,0.00000371,185500000,1.85500000
89,44500001,45000000,500000,333,0.00000333,166500000,1.66500000
90,45000001,45500000,500000,299,0.00000299,149500000,1.49500000
91,45500001,46000000,500000,269,0.00000269,134500000,1.34500000
92,46000001,46500000,500000,242,0.00000242,121000000,1.21000000
93,46500001,47000000,500000,217,0.00000217,108500000,1.08500000
94,47000001,47500000,500000,195,0.00000195,97500000,0.97500000
95,47500001,48000000,500000,175,0.00000175,87500000,0.87500000
96,48000001,48500000,500000,157,0.00000157,78500000,0.78500000
97,48500001,49000000,500000,141,0.00000141,70500000,0.70500000
98,49000001,49500000,500000,126,0.00000126,63000000,0.63000000
99,49500001,50000000,500000,113,0.00000113,56500000,0.56500000
100,50000001,50500000,500000,101,0.00000101,50500000,0.50500000
101,50500001,51000000,500000,90,0.00000090,45000000,0.45000000
102,51000001,51500000,500000,81,0.00000081,40500000,0.40500000
103,51500001,52000000,500000,72,0.00000072,36000000,0.36000000
104,52000001,52500000,500000,64,0.00000064,32000000,0.32000000
105,52500001,53000000,500000,57,0.00000057,28500000,0.28500000
106,53000001,53500000,500000,51,0.00000051,25500000,0.25500000
107,53500001,54000000,500000,45,0.00000045,22500000,0.22500000
108,54000001,54500000,500000,40,0.00000040,20000000,0.20000000
109,54500001,55000000,500000,36,0.00000036,18000000,0.18000000
110,55000001,55500000,500000,32,0.00000032,16000000,0.16000000
111,55500001,56000000,500000,28,0.00000028,14000000,0.14000000
112,56000001,56500000,500000,25,0.00000025,12500000,0.12500000
113,56500001,57000000,500000,22,0.00000022,11000000,0.11000000
114,57000001,57500000,500000,19,0.00000019,9500000,0.09500000
115,57500001,58000000,500000,17,0.00000017,8500000,0.08500000
116,58000001,58500000,500000,15,0.00000015,7500000,0.07500000
117,58500001,59000000,500000,13,0.00000013,6500000,0.06500000
118,59000001,59500000,500000,11,0.00000011,5500000,0.05500000
119,59500001,60000000,500000,9,0.00000009,4500000,0.04500000
120,60000001,60500000,500000,8,0.00000008,4000000,0.04000000
121,60500001,61000000,500000,7,0.00000007,3500000,0.03500000
122,61000001,61500000,500000,6,0.00000006,3000000,0.03000000
123,61500001,62000000,500000,5,0.00000005,2500000,0.02500000
124,62000001,62500000,500000,4,0.00000004,2000000,0.02000000
125,62500001,63000000,500000,3,0.00000003,1500000,0.01500000
126,63000001,63500000,500000,2,0.00000002,1000000,0.01000000
127,63500001,64000000,500000,1,0.00000001,500000,0.00500000
128,64000001,64500000,500000,1,0.00000001,500000,0.00500000
129,64500001,65000000,500000,1,0.00000001,500000,0.00500000
130,65000001,65500000,500000,1,0.00000001,500000,0.00500000
131,65500001,66000000,500000,1,0.00000001,500000,0.00500000
132,66000001,66500000,500000,1,0.00000001,500000,0.00500000
133,66500001,67000000,500000,1,0.00000001,500000,0.00500000
134,67000001,67500000,500000,1,0.00000001,500000,0.00500000
135,67500001,68000000,500000,1,0.00000001,500000,0.00500000
136,68000001,68500000,500000,1,0.00000001,500000,0.00500000
137,68500001,69000000,500000,1,0.00000001,500000,0.00500000
138,69000001,69500000,500000,1,0.00000001,500000,0.00500000
139,69500001,70000000,500000,1,0.00000001,500000,0.00500000
140,70000001,70500000,500000,1,0.00000001,500000,0.00500000
141,70500001,71000000,500000,1,0.00000001,500000,0.00500000
142,71000001,71500000,500000,1,0.00000001,500000,0.00500000
143,71500001,72000000,500000,1,0.00000001,500000,0.00500000
144,72000001,72500000,500000,1,0.00000001,500000,0.00500000
145,72500001,73000000,500000,1,0.00000001,500000,0.00500000
146,73000001,73500000,500000,1,0.00000001,500000,0.00500000
147,73500001,74000000,500000,1,0.00000001,500000,0.00500000
148,74000001,74500000,500000,1,0.00000001,500000,0.00500000
149,74500001,75000000,500000,1,0.00000001,500000,0.00500000
150,75000001,75500000,500000,1,0.00000001,500000,0.00500000
151,75500001,76000000,500000,1,0.00000001,500000,0.00500000
152,76000001,76500000,500000,1,0.00000001,500000,0.00500000
153,76500001,77000000,500000,1,0.00000001,500000,0.00500000
154,77000001,77500000,500000,1,0.00000001,500000,0.00500000
155,77500001,78000000,500000,1,0.00000001,500000,0.00500000
156,78000001,78500000,500000,1,0.00000001,500000,0.00500000
157,78500001,79000000,500000,1,0.00000001,500000,0.00500000
158,79000001,79500000,500000,1,0.00000001,500000,0.00500000
159,79500001,80000000,500000,1,0.00000001,500000,0.00500000
160,80000001,80500000,500000,1,0.00000001,500000,0.00500000
161,80500001,81000000,500000,1,0.00000001,500000,0.00500000
162,81000001,81500000,500000,1,0.00000001,500000,0.00500000
163,81500001,82000000,500000,1,0.00000001,500000,0.00500000
164,82000001,82500000,500000,1,0.00000001,500000,0.00500000
165,82500001,83000000,500000,1,0.00000001,500000,0.00500000
166,83000001,83500000,500000,1,0.00000001,500000,0.00500000
167,83500001,84000000,500000,1,0.00000001,500000,0.00500000
168,84000001,84500000,500000,1,0.00000001,500000,0.00500000
169,84500001,85000000,500000,1,0.00000001,500000,0.00500000
170,85000001,85500000,500000,1,0.00000001,500000,0.00500000
171,85500001,86000000,500000,1,0.00000001,500000,0.00500000
172,86000001,86500000,500000,1,0.00000001,500000,0.00500000
173,86500001,87000000,500000,1,0.00000001,500000,0.00500000
174,87000001,87500000,500000,1,0.00000001,500000,0.00500000
175,87500001,88000000,500000,1,0.00000001,500000,0.00500000
176,88000001,88500000,500000,1,0.00000001,500000,0.00500000
177,88500001,89000000,500000,1,0.00000001,500000,0.00500000
178,89000001,89500000,500000,1,0.00000001,500000,0.00500000
179,89500001,90000000,500000,1,0.00000001,500000,0.00500000
180,90000001,90500000,500000,1,0.00000001,500000,0.00500000
181,90500001,91000000,500000,1,0.00000001,500000,0.00500000
182,91000001,91500000,500000,1,0.00000001,500000,0.00500000
183,91500001,92000000,500000,1,0.00000001,500000,0.00500000
184,92000001,92500000,500000,1,0.00000001,500000,0.00500000
185,92500001,93000000,500000,1,0.00000001,500000,0.00500000
186,93000001,93500000,500000,1,0.00000001,500000,0.00500000
187,93500001,94000000,500000,1,0.00000001,500000,0.00500000
188,94000001,94500000,500000,1,0.00000001,500000,0.00500000
189,94500001,95000000,500000,1,0.00000001,500000,0.00500000
190,95000001,95500000,500000,1,0.00000001,500000,0.00500000
191,95500001,96000000,500000,1,0.00000001,500000,0.00500000
192,96000001,96500000,500000,1,0.00000001,500000,0.00500000
193,96500001,97000000,500000,1,0.00000001,500000,0.00500000
194,97000001,97500000,500000,1,0.00000001,500000,0.00500000
195,97500001,98000000,500000,1,0.00000001,500000,0.00500000
196,98000001,98500000,500000,1,0.00000001,500000,0.00500000
197,98500001,99000000,500000,1,0.00000001,500000,0.00500000
198,99000001,99500000,500000,1,0.00000001,500000,0.00500000
199,99500001,100000000,500000,1,0.00000001,500000,0.00500000
200,100000001,100500000,500000,1,0.00000001,500000,0.00500000
201,100500001,101000000,500000,1,0.00000001,500000,0.00500000
202,101000001,101500000,500000,1,0.00000001,500000,0.00500000
203,101500001,102000000,500000,1,0.00000001,500000,0.00500000
204,102000001,102500000,500000,1,0.00000001,500000,0.00500000
205,102500001,103000000,500000,1,0.00000001,500000,0.00500000
206,103000001,103500000,500000,1,0.00000001,500000,0.00500000
207,103500001,104000000,500000,1,0.00000001,500000,0.00500000
208,104000001,104500000,500000,1,0.00000001,500000,0.00500000
209,104500001,105000000,500000,1,0.00000001,500000,0.00500000
210,105000001,105500000,500000,1,0.00000001,500000,0.00500000
211,105500001,106000000,500000,1,0.00000001,500000,0.00500000
212,106000001,106500000,500000,1,0.00000001,500000,0.00500000
213,106500001,107000000,500000,1,0.00000001,500000,0.00500000
214,107000001,107500000,500000,1,0.00000001,500000,0.00500000
215,107500001,108000000,500000,1,0.00000001,500000,0.00500000
216,108000001,108500000,500000,1,0.00000001,500000,0.00500000
217,108500001,109000000,500000,1,0.00000001,500000,0.00500000
218,109000001,109500000,500000,1,0.00000001,500000,0.00500000
219,109500001,110000000,500000,1,0.00000001,500000,0.00500000
220,110000001,110500000,500000,1,0.00000001,500000,0.00500000
221,110500001,111000000,500000,1,0.00000001,500000,0.00500000
222,111000001,111500000,500000,1,0.00000001,500000,0.00500000
223,111500001,112000000,500000,1,0.00000001,500000,0.00500000
224,112000001,112500000,500000,1,0.00000001,500000,0.00500000
225,112500001,113000000,500000,1,0.00000001,500000,0.00500000
226,113000001,113500000,500000,1,0.00000001,500000,0.00500000
227,113500001,114000000,500000,1,0.00000001,500000,0.00500000
228,114000001,114500000,500000,1,0.00000001,500000,0.00500000
229,114500001,115000000,500000,1,0.00000001,500000,0.00500000
230,115000001,115500000,500000,1,0.00000001,500000,0.00500000
231,115500001,116000000,500000,1,0.00000001,500000,0.00500000
232,116000001,116500000,500000,1,0.00000001,500000,0.00500000
233,116500001,117000000,500000,1,0.00000001,500000,0.00500000
234,117000001,117500000,500000,1,0.00000001,500000,0.00500000
235,117500001,118000000,500000,1,0.00000001,500000,0.00500000
236,118000001,118500000,500000,1,0.00000001,500000,0.00500000
237,118500001,119000000,500000,1,0.00000001,500000,0.00500000
238,119000001,119500000,500000,1,0.00000001,500000,0.00500000
239,119500001,120000000,500000,1,0.00000001,500000,0.00500000
240,120000001,120500000,500000,1,0.00000001,500000,0.00500000
241,120500001,121000000,500000,1,0.00000001,500000,0.00500000
242,121000001,121500000,500000,1,0.00000001,500000,0.00500000
243,121500001,122000000,500000,1,0.00000001,500000,0.00500000
244,122000001,122500000,500000,1,0.00000001,500000,0.00500000
245,122500001,123000000,500000,1,0.00000001,500000,0.00500000
246,123000001,123500000,500000,1,0.00000001,500000,0.00500000
247,123500001,124000000,500000,1,0.00000001,500000,0.00500000
248,124000001,124500000,500000,1,0.00000001,500000,0.00500000
249,124500001,125000000,500000,1,0.00000001,500000,0.00500000
250,125000001,125500000,500000,1,0.00000001,500000,0.00500000
251,125500001,126000000,500000,1,0.00000001,500000,0.00500000
252,126000001,126500000,500000,1,0.00000001,500000,0.00500000
253,126500001,127000000,500000,1,0.00000001,500000,0.00500000
254,127000001,127500000,500000,1,0.00000001,500000,0.00500000
255,127500001,128000000,500000,1,0.00000001,500000,0.00500000
256,128000001,128500000,500000,1,0.00000001,500000,0.00500000
257,128500001,129000000,500000,1,0.00000001,500000,0.00500000
258,129000001,129500000,500000,1,0.00000001,500000,0.00500000
259,129500001,130000000,500000,1,0.00000001,500000,0.00500000
260,130000001,130500000,500000,1,0.00000001,500000,0.00500000
261,130500001,131000000,500000,1,0.00000001,500000,0.00500000
262,131000001,131500000,500000,1,0.00000001,500000,0.00500000
263,131500001,132000000,500000,1,0.00000001,500000,0.00500000
264,132000001,132500000,500000,1,0.00000001,500000,0.00500000
265,132500001,133000000,500000,1,0.00000001,500000,0.00500000
266,133000001,133500000,500000,1,0.00000001,500000,0.00500000
267,133500001,134000000,500000,1,0.00000001,500000,0.00500000
268,134000001,134500000,500000,1,0.00000001,500000,0.00500000
269,134500001,135000000,500000,1,0.00000001,500000,0.00500000
270,135000001,135500000,500000,1,0.00000001,500000,0.00500000
271,135500001,136000000,500000,1,0.00000001,500000,0.00500000
272,136000001,136500000,500000,1,0.00000001,500000,0.00500000
273,136500001,137000000,500000,1,0.00000001,500000,0.00500000
274,137000001,137500000,500000,1,0.00000001,500000,0.00500000
275,137500001,138000000,500000,1,0.00000001,500000,0.00500000
276,138000001,138500000,500000,1,0.00000001,500000,0.00500000
277,138500001,139000000,500000,1,0.00000001,500000,0.00500000
278,139000001,139500000,500000,1,0.00000001,500000,0.00500000
279,139500001,140000000,500000,1,0.00000001,500000,0.00500000
280,140000001,140500000,500000,1,0.00000001,500000,0.00500000
281,140500001,141000000,500000,1,0.00000001,500000,0.00500000
282,141000001,141500000,500000,1,0.00000001,500000,0.00500000
283,141500001,142000000,500000,1,0.00000001,500000,0.00500000
284,142000001,142500000,500000,1,0.00000001,500000,0.00500000
285,142500001,143000000,500000,1,0.00000001,500000,0.00500000
286,143000001,143500000,500000,1,0.00000001,500000,0.00500000
287,143500001,144000000,500000,1,0.00000001,500000,0.00500000
288,144000001,144500000,500000,1,0.00000001,500000,0.00500000
289,144500001,145000000,500000,1,0.00000001,500000,0.00500000
290,145000001,145500000,500000,1,0.00000001,500000,0.00500000
291,145500001,146000000,500000,1,0.00000001,500000,0.00500000
292,146000001,146500000,500000,1,0.00000001,500000,0.00500000
293,146500001,147000000,500000,1,0.00000001,500000,0.00500000
294,147000001,147500000,500000,1,0.00000001,500000,0.00500000
295,147500001,148000000,500000,1,0.00000001,500000,0.00500000
296,148000001,148500000,500000,1,0.00000001,500000,0.00500000
297,148500001,149000000,500000,1,0.00000001,500000,0.00500000
298,149000001,149500000,500000,1,0.00000001,500000,0.00500000
299,149500001,150000000,500000,1,0.00000001,500000,0.00500000
300,150000001,150500000,500000,1,0.00000001,500000,0.00500000
301,150500001,151000000,500000,1,0.00000001,500000,0.00500000
302,151000001,151500000,500000,1,0.00000001,500000,0.00500000
303,151500001,152000000,500000,1,0.00000001,500000,0.00500000
304,152000001,152500000,500000,1,0.00000001,500000,0.00500000
305,152500001,153000000,500000,1,0.00000001,500000,0.00500000
306,153000001,153500000,500000,1,0.00000001,500000,0.00500000
307,153500001,154000000,500000,1,0.00000001,500000,0.00500000
308,154000001,154500000,500000,1,0.00000001,500000,0.00500000
309,154500001,155000000,500000,1,0.00000001,500000,0.00500000
310,155000001,155500000,500000,1,0.00000001,500000,0.00500000
311,155500001,156000000,500000,1,0.00000001,500000,0.00500000
312,156000001,156500000,500000,1,0.00000001,500000,0.00500000
313,156500001,157000000,500000,1,0.00000001,500000,0.00500000
314,157000001,157500000,500000,1,0.00000001,500000,0.00500000
315,157500001,158000000,500000,1,0.00000001,500000,0.00500000
316,158000001,158500000,500000,1,0.00000001,500000,0.00500000
317,158500001,159000000,500000,1,0.00000001,500000,0.00500000
318,159000001,159500000,500000,1,0.00000001,500000,0.00500000
319,159500001,160000000,500000,1,0.00000001,500000,0.00500000
320,160000001,160500000,500000,1,0.00000001,500000,0.00500000
321,160500001,161000000,500000,1,0.00000001,500000,0.00500000
322,161000001,161500000,500000,1,0.00000001,500000,0.00500000
323,161500001,162000000,500000,1,0.00000001,500000,0.00500000
324,162000001,162500000,500000,1,0.00000001,500000,0.00500000
325,162500001,163000000,500000,1,0.00000001,500000,0.00500000
326,163000001,163500000,500000,1,0.00000001,500000,0.00500000
327,163500001,164000000,500000,1,0.00000001,500000,0.00500000
328,164000001,164500000,500000,1,0.00000001,500000,0.00500000
329,164500001,165000000,500000,1,0.00000001,500000,0.00500000
330,165000001,165500000,500000,1,0.00000001,500000,0.00500000
331,165500001,166000000,500000,1,0.00000001,500000,0.00500000
332,166000001,166500000,500000,1,0.00000001,500000,0.00500000
333,166500001,167000000,500000,1,0.00000001,500000,0.00500000
334,167000001,167500000,500000,1,0.00000001,500000,0.00500000
335,167500001,168000000,500000,1,0.00000001,500000,0.00500000
336,168000001,168500000,500000,1,0.00000001,500000,0.00500000
337,168500001,169000000,500000,1,0.00000001,500000,0.00500000
338,169000001,169500000,500000,1,0.00000001,500000,0.00500000
339,169500001,170000000,500000,1,0.00000001,500000,0.00500000
340,170000001,170500000,500000,1,0.00000001,500000,0.00500000
341,170500001,171000000,500000,1,0.00000001,500000,0.00500000
342,171000001,171500000,500000,1,0.00000001,500000,0.00500000
343,171500001,172000000,500000,1,0.00000001,500000,0.00500000
344,172000001,172500000,500000,1,0.00000001,500000,0.00500000
345,172500001,173000000,500000,1,0.00000001,500000,0.00500000
346,173000001,173500000,500000,1,0.00000001,500000,0.00500000
347,173500001,174000000,500000,1,0.00000001,500000,0.00500000
348,174000001,174500000,500000,1,0.00000001,500000,0.00500000
349,174500001,175000000,500000,1,0.00000001,500000,0.00500000
350,175000001,175500000,500000,1,0.00000001,500000,0.00500000
351,175500001,176000000,500000,1,0.00000001,500000,0.00500000
352,176000001,176500000,500000,1,0.00000001,500000,0.00500000
353,176500001,177000000,500000,1,0.00000001,500000,0.00500000
354,177000001,177500000,500000,1,0.00000001,500000,0.00500000
355,177500001,178000000,500000,1,0.00000001,500000,0.00500000
356,178000001,178500000,500000,1,0.00000001,500000,0.00500000
357,178500001,179000000,500000,1,0.00000001,500000,0.00500000
358,179000001,179500000,500000,1,0.00000001,500000,0.00500000
359,179500001,180000000,500000,1,0.00000001,500000,0.00500000
360,180000001,180500000,500000,1,0.00000001,500000,0.00500000
361,180500001,181000000,500000,1,0.00000001,500000,0.00500000
362,181000001,181500000,500000,1,0.00000001,500000,0.00500000
363,181500001,182000000,500000,1,0.00000001,500000,0.00500000
364,182000001,182500000,500000,1,0.00000001,500000,0.00500000
365,182500001,183000000,500000,1,0.00000001,500000,0.00500000
366,183000001,183500000,500000,1,0.00000001,500000,0.00500000
367,183500001,184000000,500000,1,0.00000001,500000,0.00500000
368,184000001,184500000,500000,1,0.00000001,500000,0.00500000
369,184500001,185000000,500000,1,0.00000001,500000,0.00500000
370,185000001,185500000,500000,1,0.00000001,500000,0.00500000
371,185500001,186000000,500000,1,0.00000001,500000,0.00500000
372,186000001,186500000,500000,1,0.00000001,500000,0.00500000
373,186500001,187000000,500000,1,0.00000001,500000,0.00500000
374,187000001,187500000,500000,1,0.00000001,500000,0.00500000
375,187500001,188000000,500000,1,0.00000001,500000,0.00500000
376,188000001,188500000,500000,1,0.00000001,500000,0.00500000
377,188500001,189000000,500000,1,0.00000001,500000,0.00500000
378,189000001,189500000,500000,1,0.00000001,500000,0.00500000
379,189500001,190000000,500000,1,0.00000001,500000,0.00500000
380,190000001,190500000,500000,1,0.00000001,500000,0.00500000
381,190500001,191000000,500000,1,0.00000001,500000,0.00500000
382,191000001,191500000,500000,1,0.00000001,500000,0.00500000
383,191500001,192000000,500000,1,0.00000001,500000,0.00500000
384,192000001,192500000,500000,1,0.00000001,500000,0.00500000
385,192500001,193000000,500000,1,0.00000001,500000,0.00500000
386,193000001,193500000,500000,1,0.00000001,500000,0.00500000
387,193500001,194000000,500000,1,0.00000001,500000,0.00500000
388,194000001,194500000,500000,1,0.00000001,500000,0.00500000
389,194500001,195000000,500000,1,0.00000001,500000,0.00500000
390,195000001,195500000,500000,1,0.00000001,500000,0.00500000
391,195500001,196000000,500000,1,0.00000001,500000,0.00500000
392,196000001,196500000,500000,1,0.00000001,500000,0.00500000
393,196500001,197000000,500000,1,0.00000001,500000,0.00500000
394,197000001,197500000,500000,1,0.00000001,500000,0.00500000
395,197500001,198000000,500000,1,0.00000001,500000,0.00500000
396,198000001,198500000,500000,1,0.00000001,500000,0.00500000
397,198500001,199000000,500000,1,0.00000001,500000,0.00500000
398,199000001,199500000,500000,1,0.00000001,500000,0.00500000
399,199500001,200000000,500000,1,0.00000001,500000,0.00500000
400,200000001,200500000,500000,1,0.00000001,500000,0.00500000
401,200500001,201000000,500000,1,0.00000001,500000,0.00500000
402,201000001,201500000,500000,1,0.00000001,500000,0.00500000
403,201500001,202000000,500000,1,0.00000001,500000,0.00500000
404,202000001,202500000,500000,1,0.00000001,500000,0.00500000
405,202500001,203000000,500000,1,0.00000001,500000,0.00500000
406,203000001,203500000,500000,1,0.00000001,500000,0.00500000
407,203500001,204000000,500000,1,0.00000001,500000,0.00500000
408,204000001,204500000,500000,1,0.00000001,500000,0.00500000
409,204500001,205000000,500000,1,0.00000001,500000,0.00500000
410,205000001,205500000,500000,1,0.00000001,500000,0.00500000
411,205500001,206000000,500000,1,0.00000001,500000,0.00500000
412,206000001,206500000,500000,1,0.00000001,500000,0.00500000
413,206500001,207000000,500000,1,0.00000001,500000,0.00500000
414,207000001,207500000,500000,1,0.00000001,500000,0.00500000
415,207500001,208000000,500000,1,0.00000001,500000,0.00500000
416,208000001,208500000,500000,1,0.00000001,500000,0.00500000
417,208500001,209000000,500000,1,0.00000001,500000,0.00500000
418,209000001,209500000,500000,1,0.00000001,500000,0.00500000
419,209500001,210000000,500000,1,0.00000001,500000,0.00500000
420,210000001,210500000,500000,1,0.00000001,500000,0.00500000
421,210500001,211000000,500000,1,0.00000001,500000,0.00500000
422,211000001,211500000,500000,1,0.00000001,500000,0.00500000
423,211500001,212000000,500000,1,0.00000001,500000,0.00500000
424,212000001,212500000,500000,1,0.00000001,500000,0.00500000
425,212500001,213000000,500000,1,0.00000001,500000,0.00500000
426,213000001,213500000,500000,1,0.00000001,500000,0.00500000
427,213500001,214000000,500000,1,0.00000001,500000,0.00500000
428,214000001,214500000,500000,1,0.00000001,500000,0.00500000
429,214500001,215000000,500000,1,0.00000001,500000,0.00500000
430,215000001,215500000,500000,1,0.00000001,500000,0.00500000
431,215500001,216000000,500000,1,0.00000001,500000,0.00500000
432,216000001,216500000,500000,1,0.00000001,500000,0.00500000
433,216500001,217000000,500000,1,0.00000001,500000,0.00500000
434,217000001,217500000,500000,1,0.00000001,500000,0.00500000
435,217500001,218000000,500000,1,0.00000001,500000,0.00500000
436,218000001,218500000,500000,1,0.00000001,500000,0.00500000
437,218500001,219000000,500000,1,0.00000001,500000,0.00500000
438,219000001,219500000,500000,1,0.00000001,500000,0.00500000
439,219500001,220000000,500000,1,0.00000001,500000,0.00500000
440,220000001,220500000,500000,1,0.00000001,500000,0.00500000
441,220500001,221000000,500000,1,0.00000001,500000,0.00500000
442,221000001,221500000,500000,1,0.00000001,500000,0.00500000
443,221500001,222000000,500000,1,0.00000001,500000,0.00500000
444,222000001,222500000,500000,1,0.00000001,500000,0.00500000
445,222500001,223000000,500000,1,0.00000001,500000,0.00500000
446,223000001,223500000,500000,1,0.00000001,500000,0.00500000
447,223500001,224000000,500000,1,0.00000001,500000,0.00500000
448,224000001,224500000,500000,1,0.00000001,500000,0.00500000
449,224500001,225000000,500000,1,0.00000001,500000,0.00500000
450,225000001,225500000,500000,1,0.00000001,500000,0.00500000
